Lake.Name,STN,Latitude,Longitude,Site.ID,Year,meanTP_yearly
ABERDEEN LAKE (BASS),4,46.50833333,-83.81111111,1,2002,15.44166667
ABERDEEN LAKE (BASS),4,46.50833333,-83.81111111,1,2003,12.21666667
ABERDEEN LAKE (BASS),4,46.50833333,-83.81111111,1,2004,13.525
ABERDEEN LAKE (BASS),4,46.50833333,-83.81111111,1,2005,10.14166667
ABERDEEN LAKE (BASS),4,46.50833333,-83.81111111,1,2006,14.55
ABERDEEN LAKE (BASS),4,46.50833333,-83.81111111,1,2007,14.925
ABERDEEN LAKE (BASS),4,46.50833333,-83.81111111,1,2008,15.375
ABERDEEN LAKE (BASS),4,46.50833333,-83.81111111,1,2009,16.125
ABERDEEN LAKE (BASS),4,46.50833333,-83.81111111,1,2010,13.13333333
ABERDEEN LAKE (BASS),4,46.50833333,-83.81111111,1,2011,16.23333333
ABERDEEN LAKE (BASS),4,46.50833333,-83.81111111,1,2012,17.25
ABERDEEN LAKE (BASS),4,46.50833333,-83.81111111,1,2013,12.9
ABERDEEN LAKE (BASS),4,46.50833333,-83.81111111,1,2014,12.2
ABERDEEN LAKE (BASS),4,46.50833333,-83.81111111,1,2015,10.73333333
ABERDEEN LAKE (BASS),4,46.50833333,-83.81111111,1,2016,14.1
ABERDEEN LAKE (BASS),4,46.50333333,-83.79361111,2,2005,10.8
ABERDEEN LAKE (BASS),4,46.50611111,-83.81138889,4,2010,8.4
ABERDEEN LAKE (BASS),4,46.50611111,-83.81138889,4,2016,7.4
ABITIBI LAKE,2451,48.79305556,-80.15444444,1,2010,92.1
ABITIBI LAKE,2451,48.79305556,-80.15444444,1,2012,52.2
ABITIBI LAKE,2451,48.79305556,-80.15444444,1,2014,33.6
ABITIBI LAKE,2451,48.79305556,-80.15444444,1,2015,64
ABITIBI LAKE,2451,48.79305556,-80.15444444,1,2016,50.5
ABITIBI LAKE,2451,48.66805556,-79.73916667,2,2016,47.6
ABITIBI LAKE,2451,48.64361111,-79.89277778,3,2010,57.7
ABITIBI LAKE,2451,48.64361111,-79.89277778,3,2012,51.5
ABITIBI LAKE,2451,48.64361111,-79.89277778,3,2014,45.3
ABITIBI LAKE,2451,48.64361111,-79.89277778,3,2016,40.8
ABITIBI LAKE,2451,48.7775,-79.57638889,4,2016,48.3
ABITIBI LAKE,2451,48.69444444,-79.96694444,9,2014,46.4
ABITIBI LAKE,2451,48.69083333,-79.53138889,10,2014,51.8
ABITIBI LAKE,2451,48.82027778,-80.13027778,11,2014,64.6
ABITIBI LAKE,2451,48.91388889,-80.12222222,12,2014,63.6
ABITIBI LAKE,2451,48.91361111,-80.06666667,13,2014,63.2
ABITIBI LAKE,2451,48.93333333,-79.89527778,14,2014,61.8
ABITIBI LAKE,2451,48.86694444,-79.85666667,15,2014,61.8
ABITIBI LAKE,2451,48.86916667,-79.91805556,16,2014,60.4
ABITIBI LAKE,2451,48.88055556,-79.96916667,17,2014,64.4
ABITIBI LAKE,2451,48.88444444,-80.03888889,18,2014,65
ABITIBI LAKE,2451,48.79361111,-80.07027778,19,2014,53.8
ABITIBI LAKE,2451,48.81222222,-80.19388889,20,2014,67
ACHESON LAKE,10,46.57944444,-81.90861111,1,2004,6.9
ADA LAKE,15,45.09111111,-79.64055556,1,2004,12.85
ADA LAKE,15,45.09111111,-79.64055556,1,2007,17.6
ADA LAKE,15,45.08333333,-79.63333333,2,2015,18.2
ADA LAKE,15,45.08333333,-79.63333333,2,2016,9.4
ADAM'S LAKE,6931,44.81111111,-76.21527778,1,2002,20.4
ADAM'S LAKE,6931,44.81111111,-76.21527778,1,2003,15.5
ADAM'S LAKE,6931,44.81111111,-76.21527778,1,2004,16.35
ADAM'S LAKE,6931,44.81111111,-76.21527778,1,2005,14
ADAM'S LAKE,6931,44.81111111,-76.21527778,1,2006,10.95
ADAM'S LAKE,6931,44.81111111,-76.21527778,1,2007,13.2
