Lake_ID,Lake.Name,STN,Site.ID,Latitude,Longitude,Year,meanTP_yearly,Secchi.depth_avg
1,ADA LAKE,15,1,45.09111111,-79.64055556,2004,12.85,5
2,ADA LAKE,15,1,45.09111111,-79.64055556,2007,17.6,1.9
3,ADA LAKE,15,2,45.08333333,-79.63333333,2015,18.2,1.7
4,ADA LAKE,15,2,45.08333333,-79.63333333,2016,9.4,1.7
5,ADAM'S LAKE,6931,1,44.81111111,-76.21527778,2002,20.4,3.3
6,ADAM'S LAKE,6931,1,44.81111111,-76.21527778,2003,15.5,3.9
7,ADAM'S LAKE,6931,1,44.81111111,-76.21527778,2004,16.35,4.2
8,ADAM'S LAKE,6931,1,44.81111111,-76.21527778,2005,14,4.2
9,ADAM'S LAKE,6931,1,44.81111111,-76.21527778,2006,10.95,5.4
10,ADAM'S LAKE,6931,1,44.81111111,-76.21527778,2007,13.2,5
11,ADAM'S LAKE,6931,1,44.81111111,-76.21527778,2008,32.4,4.6
12,ADAM'S LAKE,6931,1,44.81111111,-76.21527778,2009,12.45,4.5
13,ADAM'S LAKE,6931,1,44.81111111,-76.21527778,2010,11.8,5.3
14,ADAM'S LAKE,6931,1,44.81111111,-76.21527778,2011,12.9,4.4
15,ADAM'S LAKE,6931,1,44.81111111,-76.21527778,2012,14.6,5.2
16,ADAM'S LAKE,6931,1,44.81111111,-76.21527778,2013,12.4,5
17,ADAM'S LAKE,6931,1,44.81111111,-76.21527778,2015,11.9,4.5
18,ADAM'S LAKE,6931,1,44.81111111,-76.21527778,2016,13.6,4.1
19,ADAM'S LAKE,6931,3,44.81,-77.77861111,2014,12,3.6
20,AHMIC LAKE,32,1,45.63055556,-79.65138889,2002,6.8,3.2
21,AHMIC LAKE,32,1,45.63055556,-79.65138889,2003,13.55,3
22,AHMIC LAKE,32,1,45.63055556,-79.65138889,2004,12.025,3.1
23,AHMIC LAKE,32,1,45.63055556,-79.65138889,2005,8.583333333,3.1
24,AHMIC LAKE,32,1,45.63055556,-79.65138889,2006,10.57,2.8
25,AHMIC LAKE,32,1,45.63055556,-79.65138889,2007,9.558333333,2.9
26,AHMIC LAKE,32,1,45.63055556,-79.65138889,2008,13.78,2
27,AHMIC LAKE,32,1,45.63055556,-79.65138889,2009,9.88,2.4
28,AHMIC LAKE,32,1,45.63055556,-79.65138889,2010,9.4,2.5
29,AHMIC LAKE,32,1,45.63055556,-79.65138889,2011,10.2,2.1
30,AHMIC LAKE,32,1,45.63055556,-79.65138889,2012,7.85,2.6
31,AHMIC LAKE,32,1,45.63055556,-79.65138889,2013,9.116666667,2.3
32,AHMIC LAKE,32,1,45.63055556,-79.65138889,2014,10.96,2.2
33,AHMIC LAKE,32,1,45.63055556,-79.65138889,2015,8.925,2.7
34,AHMIC LAKE,32,1,45.63055556,-79.65138889,2016,7.783333333,2.7
35,AHMIC LAKE,32,2,45.65222222,-79.72333333,2002,14.7,3.3
36,AHMIC LAKE,32,2,45.65222222,-79.72333333,2003,16.45,3
37,AHMIC LAKE,32,2,45.65222222,-79.72333333,2004,11.25,3.1
38,AHMIC LAKE,32,2,45.65222222,-79.72333333,2005,7.241666667,3.1
39,AHMIC LAKE,32,2,45.65222222,-79.72333333,2006,8.98,3
40,AHMIC LAKE,32,2,45.65222222,-79.72333333,2007,8.808333333,2.7
41,AHMIC LAKE,32,2,45.65222222,-79.72333333,2008,12.27,2.3
42,AHMIC LAKE,32,2,45.65222222,-79.72333333,2009,8.74,2.5
43,AHMIC LAKE,32,2,45.65222222,-79.72333333,2010,9.316666667,2.6
44,AHMIC LAKE,32,2,45.65222222,-79.72333333,2011,8.95,2.2
45,AHMIC LAKE,32,2,45.65222222,-79.72333333,2012,7.416666667,2.5
46,AHMIC LAKE,32,2,45.65222222,-79.72333333,2013,8.95,2.5
47,AHMIC LAKE,32,2,45.65222222,-79.72333333,2014,9.68,2.4
48,AHMIC LAKE,32,2,45.65222222,-79.72333333,2015,8.083333333,2.8
49,AHMIC LAKE,32,2,45.65222222,-79.72333333,2016,7.516666667,2.8
50,AIRD LAKE,33,2,45.13916667,-77.08083333,2014,8.6,4.8
51,ALLEN LAKE,6114,1,45.12361111,-78.25277778,2002,10,6.3
52,ALLEN LAKE,6114,1,45.12361111,-78.25277778,2003,5.35,6.3
53,ALLEN LAKE,6114,1,45.12361111,-78.25277778,2004,5.35,6.2
54,ALLEN LAKE,6114,1,45.12361111,-78.25277778,2005,4.9,6.1
55,ALLEN LAKE,6114,1,45.12361111,-78.25277778,2006,9.75,5.6
56,ALLEN LAKE,6114,1,45.12361111,-78.25277778,2007,5.875,5.9
57,ALLEN LAKE,6114,1,45.12361111,-78.25277778,2008,6.65,6.1
58,ALLEN LAKE,6114,1,45.12361111,-78.25277778,2009,6.15,5.9
59,ALLEN LAKE,6114,1,45.12361111,-78.25277778,2010,5.1,6.1
60,ALLEN LAKE,6114,1,45.12361111,-78.25277778,2011,9.7,5.7
61,ALLEN LAKE,6114,1,45.12361111,-78.25277778,2012,5.8,5.9
62,ALLEN LAKE,6114,1,45.12361111,-78.25277778,2013,6,6.2
63,ALLEN LAKE,6114,1,45.12361111,-78.25277778,2014,7.2,6
64,ALLEN LAKE,6114,1,45.12361111,-78.25277778,2015,5,6.2
65,ALLEN LAKE,6114,1,45.12361111,-78.25277778,2016,5.7,6.5
66,ALLEN LAKE,6114,2,45.12166667,-78.25027778,2014,7.3,4.5
67,ANIMOOSH LAKE,88,1,45.77194444,-78.13805556,2002,11.75,4.3
68,ANSTRUTHER LAKE,96,1,44.755,-78.19444444,2002,6.8,4.8
69,ANSTRUTHER LAKE,96,1,44.755,-78.19444444,2003,5.8,6.1
70,ANSTRUTHER LAKE,96,1,44.755,-78.19444444,2004,7.9,4.8
71,ANSTRUTHER LAKE,96,1,44.755,-78.19444444,2005,5.3,5.6
72,ANSTRUTHER LAKE,96,1,44.755,-78.19444444,2006,5.8,5
73,ANSTRUTHER LAKE,96,1,44.755,-78.19444444,2007,7.8,4.9
74,ANSTRUTHER LAKE,96,1,44.755,-78.19444444,2008,6.85,5.1
75,ANSTRUTHER LAKE,96,1,44.755,-78.19444444,2009,4.55,5.1
76,ANSTRUTHER LAKE,96,1,44.755,-78.19444444,2014,7.3,5.1
77,ANSTRUTHER LAKE,96,2,44.73527778,-78.23194444,2002,7.25,4.9
78,ANSTRUTHER LAKE,96,2,44.73527778,-78.23194444,2003,12,5.9
79,ANSTRUTHER LAKE,96,2,44.73527778,-78.23194444,2004,6.15,5
80,ANSTRUTHER LAKE,96,2,44.73527778,-78.23194444,2005,4.05,5.5
81,ANSTRUTHER LAKE,96,2,44.73527778,-78.23194444,2006,5.7,5
82,ANSTRUTHER LAKE,96,2,44.73527778,-78.23194444,2007,6.15,5.5
83,ANSTRUTHER LAKE,96,2,44.73527778,-78.23194444,2008,5.65,5
84,ANSTRUTHER LAKE,96,2,44.73527778,-78.23194444,2009,5.3,5.3
85,ANSTRUTHER LAKE,96,2,44.73527778,-78.23194444,2014,4.6,4.9
86,ARDOCH LAKE,2776,1,44.93138889,-76.86277778,2004,15.1,11
87,ARDOCH LAKE,2776,2,44.93083333,-76.86444444,2010,5.3,6.8
88,ARDOCH LAKE,2776,2,44.93083333,-76.86444444,2011,9.2,5.6
89,ARDOCH LAKE,2776,2,44.93083333,-76.86444444,2012,6.6,5.5
90,ARDOCH LAKE,2776,2,44.93083333,-76.86444444,2013,6.3,5.9
91,ARDOCH LAKE,2776,2,44.93083333,-76.86444444,2014,7,5.7
92,ARDOCH LAKE,2776,2,44.93083333,-76.86444444,2015,7.6,5.5
93,ARDOCH LAKE,2776,2,44.93083333,-76.86444444,2016,6.183333333,6.4
94,ARMISHAW LAKE,5041,1,45.23361111,-79.77305556,2012,9.5,5.5
95,ASHBY LAKE,131,2,45.09444444,-77.3625,2002,6.8,5.1
96,ASHBY LAKE,131,2,45.09444444,-77.3625,2003,15,5.8
97,ASHBY LAKE,131,2,45.09444444,-77.3625,2004,4.75,5.3
98,ASHBY LAKE,131,2,45.09444444,-77.3625,2005,4.45,5.5
99,ASHBY LAKE,131,2,45.09444444,-77.3625,2006,6.5,5.3
100,ASHBY LAKE,131,2,45.09444444,-77.3625,2007,5.35,5.1
101,ASHBY LAKE,131,2,45.09444444,-77.3625,2008,7.15,5.1
102,ASHBY LAKE,131,2,45.09444444,-77.3625,2009,5.55,5.4
103,ASHBY LAKE,131,2,45.09444444,-77.3625,2010,5.1,5.6
104,ASHBY LAKE,131,2,45.09444444,-77.3625,2011,4.6,5.4
105,ASHBY LAKE,131,2,45.09444444,-77.3625,2012,4,5.6
106,ASHBY LAKE,131,2,45.09444444,-77.3625,2013,5.1,5.5
107,ASHBY LAKE,131,2,45.09444444,-77.3625,2014,8.3,5.1
108,ASHBY LAKE,131,2,45.09444444,-77.3625,2015,7,5.4
109,ASHBY LAKE,131,2,45.09444444,-77.3625,2016,3.3,5.4
110,ASHBY LAKE,131,3,45.09083333,-77.3525,2002,5.95,5.2
111,ASHBY LAKE,131,3,45.09083333,-77.3525,2003,3.85,5.9
112,ASHBY LAKE,131,3,45.09083333,-77.3525,2004,6.3,5.3
113,ASHBY LAKE,131,3,45.09083333,-77.3525,2005,5.9,5.5
114,ASHBY LAKE,131,3,45.09083333,-77.3525,2006,5.85,5.2
115,ASHBY LAKE,131,3,45.09083333,-77.3525,2007,4.5,5.3
116,ASHBY LAKE,131,3,45.09083333,-77.3525,2008,5.5,5.3
117,ASHBY LAKE,131,3,45.09083333,-77.3525,2009,6.1,5.6
118,ASHBY LAKE,131,3,45.09083333,-77.3525,2010,4.2,5.9
119,ASHBY LAKE,131,3,45.09083333,-77.3525,2011,6.7,5.3
120,ASHBY LAKE,131,3,45.09083333,-77.3525,2012,5.2,5.7
121,ASHBY LAKE,131,3,45.09083333,-77.3525,2013,6.7,5.4
