Lake.Name,STN,Site.ID,Latitude,Longitude,Year,Secchi.depth_avg,d,m,s,d_long,m_long,s_long
ABERDEEN LAKE (BASS),4,1,463030,834840,2000,3.8,46,30,30,83,48,40
ABERDEEN LAKE (BASS),4,1,463030,834840,2001,3.3,46,30,30,83,48,40
ABERDEEN LAKE (BASS),4,1,463030,834840,2002,3,46,30,30,83,48,40
ABERDEEN LAKE (BASS),4,1,463030,834840,2003,2.8,46,30,30,83,48,40
ABERDEEN LAKE (BASS),4,1,463030,834840,2004,2.5,46,30,30,83,48,40
ABERDEEN LAKE (BASS),4,1,463030,834840,2005,4.2,46,30,30,83,48,40
ABERDEEN LAKE (BASS),4,1,463030,834840,2006,4.1,46,30,30,83,48,40
ABERDEEN LAKE (BASS),4,1,463030,834840,2007,3.2,46,30,30,83,48,40
ABERDEEN LAKE (BASS),4,1,463030,834840,2008,4.2,46,30,30,83,48,40
ABERDEEN LAKE (BASS),4,1,463030,834840,2009,2.8,46,30,30,83,48,40
ABERDEEN LAKE (BASS),4,1,463030,834840,2010,4,46,30,30,83,48,40
ABERDEEN LAKE (BASS),4,1,463030,834840,2011,3.2,46,30,30,83,48,40
ABERDEEN LAKE (BASS),4,1,463030,834840,2012,4,46,30,30,83,48,40
ABERDEEN LAKE (BASS),4,1,463030,834840,2014,3.4,46,30,30,83,48,40
ABERDEEN LAKE (BASS),4,1,463030,834840,2015,3.4,46,30,30,83,48,40
ABERDEEN LAKE (BASS),4,2,463012,834737,2005,3.2,46,30,12,83,47,37
ABITIBI LAKE,2451,1,484735,800916,2015,0.3,48,47,35,80,09,16
ADA LAKE,15,1,450528,793826,2004,5,45,05,28,79,38,26
ADA LAKE,15,1,450528,793826,2007,1.9,45,05,28,79,38,26
ADA LAKE,15,2,450500,793800,2015,1.7,45,05,00,79,38,00
ADA LAKE,15,2,450500,793800,2016,1.7,45,05,00,79,38,00
ADAM'S LAKE,6931,1,444840,761255,1996,3.9,44,48,40,76,12,55
ADAM'S LAKE,6931,1,444840,761255,1997,3.6,44,48,40,76,12,55
ADAM'S LAKE,6931,1,444840,761255,1998,3.7,44,48,40,76,12,55
ADAM'S LAKE,6931,1,444840,761255,1999,3.7,44,48,40,76,12,55
ADAM'S LAKE,6931,1,444840,761255,2000,3.6,44,48,40,76,12,55
ADAM'S LAKE,6931,1,444840,761255,2001,2.7,44,48,40,76,12,55
ADAM'S LAKE,6931,1,444840,761255,2002,3.3,44,48,40,76,12,55
ADAM'S LAKE,6931,1,444840,761255,2003,3.9,44,48,40,76,12,55
ADAM'S LAKE,6931,1,444840,761255,2004,4.2,44,48,40,76,12,55
ADAM'S LAKE,6931,1,444840,761255,2005,4.2,44,48,40,76,12,55
