Lake_ID,Lake.Name,STN,Site.ID,Latitude,Longitude,Year,meanTP_yearly,Secchi.depth_avg
1,GEORGIAN BAY,7064,12,45.40388889,-80.16888889,2002,5.35,4.8
2,GEORGIAN BAY,7064,12,45.40388889,-80.16888889,2003,5.55,5.1
3,GEORGIAN BAY,7064,12,45.40388889,-80.16888889,2004,6.3,5.4
4,GEORGIAN BAY,7064,12,45.40388889,-80.16888889,2005,8.95,5
5,GEORGIAN BAY,7064,12,45.40388889,-80.16888889,2006,6.95,4.9
6,GEORGIAN BAY,7064,12,45.40388889,-80.16888889,2007,6.35,5
7,GEORGIAN BAY,7064,12,45.40388889,-80.16888889,2008,43.8,4.8
8,GEORGIAN BAY,7064,12,45.40388889,-80.16888889,2009,31.75,4.6
9,GEORGIAN BAY,7064,12,45.40388889,-80.16888889,2010,19.5,4.6
10,BOLGER LAKE,521,1,45.66861111,-80.16555556,2002,6.6,3.8
11,BOLGER LAKE,521,1,45.66861111,-80.16555556,2003,6.85,4
12,BOLGER LAKE,521,1,45.66861111,-80.16555556,2004,3.95,4.1
13,BOLGER LAKE,521,1,45.66861111,-80.16555556,2005,4.3,4.5
14,BOLGER LAKE,521,1,45.66861111,-80.16555556,2006,6.85,3.8
15,BOLGER LAKE,521,1,45.66861111,-80.16555556,2007,4.45,3.8
16,BOLGER LAKE,521,1,45.66861111,-80.16555556,2008,7.85,3.8
17,BOLGER LAKE,521,1,45.66861111,-80.16555556,2009,4.75,3.8
18,BOLGER LAKE,521,1,45.66861111,-80.16555556,2010,6.2,4
19,BOLGER LAKE,521,1,45.66861111,-80.16555556,2011,5.6,4.4
20,BOLGER LAKE,521,1,45.66861111,-80.16555556,2012,7.8,4.2
21,BOLGER LAKE,521,1,45.66861111,-80.16555556,2013,6,3.4
22,GEORGIAN BAY,7064,2,45.27333333,-80.07944444,2002,5.9,6
23,GEORGIAN BAY,7064,2,45.27333333,-80.07944444,2006,5.8,8.5
24,GEORGIAN BAY,7064,14,44.80138889,-80.06888889,2002,19.5,9.3
25,WAHWASHKESH LAKE,5701,5,45.74583333,-80.05805556,2002,8.05,3.1
26,WAHWASHKESH LAKE,5701,5,45.74583333,-80.05805556,2003,13.2,3.4
27,WAHWASHKESH LAKE,5701,5,45.74583333,-80.05805556,2004,8.2,3.1
28,WAHWASHKESH LAKE,5701,5,45.74583333,-80.05805556,2005,7.6,3.7
29,WAHWASHKESH LAKE,5701,5,45.74583333,-80.05805556,2006,5.45,3.3
30,WAHWASHKESH LAKE,5701,5,45.74583333,-80.05805556,2007,8.5,3.8
31,WAHWASHKESH LAKE,5701,5,45.74583333,-80.05805556,2008,11.45,2.8
32,WAHWASHKESH LAKE,5701,5,45.74583333,-80.05805556,2009,13.05,3.3
33,WAHWASHKESH LAKE,5701,5,45.74583333,-80.05805556,2012,7.1,3.3
34,WAHWASHKESH LAKE,5701,5,45.74583333,-80.05805556,2014,11.3,2.3
35,WAHWASHKESH LAKE,5701,5,45.74583333,-80.05805556,2015,12.9,2.5
36,WAHWASHKESH LAKE,5701,4,45.74444444,-80.05777778,2002,9.7,3.1
37,WAHWASHKESH LAKE,5701,4,45.74444444,-80.05777778,2003,9.1,2.8
38,WAHWASHKESH LAKE,5701,4,45.74444444,-80.05777778,2004,9.4,3.1
39,WAHWASHKESH LAKE,5701,4,45.74444444,-80.05777778,2005,9,3.5
40,WAHWASHKESH LAKE,5701,4,45.74444444,-80.05777778,2006,5.2,3.5
41,WAHWASHKESH LAKE,5701,4,45.74444444,-80.05777778,2007,9.2,3.8
42,WAHWASHKESH LAKE,5701,4,45.74444444,-80.05777778,2008,10.35,2.8
43,WAHWASHKESH LAKE,5701,4,45.74444444,-80.05777778,2009,9.9,3.1
44,WAHWASHKESH LAKE,5701,4,45.74444444,-80.05777778,2012,7.1,3.5
45,WAHWASHKESH LAKE,5701,4,45.74444444,-80.05777778,2014,11.7,2.7
46,WAHWASHKESH LAKE,5701,4,45.74444444,-80.05777778,2015,10.1,2.8
47,WAHWASHKESH LAKE,5701,4,45.74444444,-80.05777778,2016,7.8,5
48,GOOSENECK LAKE,1692,1,45.65277778,-80.05638889,2004,12,2.7
49,GOOSENECK LAKE,1692,1,45.65277778,-80.05638889,2007,9.3,3.9
50,GOOSENECK LAKE,1692,1,45.65277778,-80.05638889,2008,8.4,3.4
51,GOOSENECK LAKE,1692,1,45.65277778,-80.05638889,2009,6.85,3.6
52,GOOSENECK LAKE,1692,1,45.65277778,-80.05638889,2010,7.1,3.7
53,GOOSENECK LAKE,1692,1,45.65277778,-80.05638889,2011,6.3,3.6
54,GOOSENECK LAKE,1692,1,45.65277778,-80.05638889,2012,5.8,3.6
55,GOOSENECK LAKE,1692,1,45.65277778,-80.05638889,2013,5.5,3.2
56,WAHWASHKESH LAKE,5701,9,45.69722222,-80.04638889,2004,9.15,3
57,WAHWASHKESH LAKE,5701,9,45.69722222,-80.04638889,2005,6.15,3.7
58,WAHWASHKESH LAKE,5701,9,45.69722222,-80.04638889,2006,9.1,3.4
59,WAHWASHKESH LAKE,5701,9,45.69722222,-80.04638889,2007,7.95,3
60,WAHWASHKESH LAKE,5701,9,45.69722222,-80.04638889,2008,5.75,3
61,WAHWASHKESH LAKE,5701,9,45.69722222,-80.04638889,2009,6.35,3.3
62,WAHWASHKESH LAKE,5701,9,45.69722222,-80.04638889,2010,5.2,3.6
