Lake_ID,STN,Site.ID,Lake_Name,Latitude,Longitude,meanTP_yearly,Secchi.depth_avg,Lake.Area
1,15,1,ada lake,45.09111111,-79.64055556,12.85,5,227444
2,15,1,ada lake,45.09111111,-79.64055556,17.6,1.9,227444
3,15,2,ada lake,45.08333333,-79.63333333,18.2,1.7,227444
4,15,2,ada lake,45.08333333,-79.63333333,9.4,1.7,227444
5,6931,1,adams lake,44.81111111,-76.21527778,20.4,3.3,803490.37
6,6931,1,adams lake,44.81111111,-76.21527778,15.5,3.9,803490.37
7,6931,1,adams lake,44.81111111,-76.21527778,16.35,4.2,803490.37
8,6931,1,adams lake,44.81111111,-76.21527778,14,4.2,803490.37
9,6931,1,adams lake,44.81111111,-76.21527778,10.95,5.4,803490.37
10,6931,1,adams lake,44.81111111,-76.21527778,13.2,5,803490.37
11,6931,1,adams lake,44.81111111,-76.21527778,32.4,4.6,803490.37
12,6931,1,adams lake,44.81111111,-76.21527778,12.45,4.5,803490.37
13,6931,1,adams lake,44.81111111,-76.21527778,11.8,5.3,803490.37
14,6931,1,adams lake,44.81111111,-76.21527778,12.9,4.4,803490.37
15,6931,1,adams lake,44.81111111,-76.21527778,14.6,5.2,803490.37
16,6931,1,adams lake,44.81111111,-76.21527778,12.4,5,803490.37
17,6931,1,adams lake,44.81111111,-76.21527778,11.9,4.5,803490.37
18,6931,1,adams lake,44.81111111,-76.21527778,13.6,4.1,803490.37
19,6931,3,adams lake,44.81,-77.77861111,12,3.6,803490.37
20,32,1,ahmic lake,45.63055556,-79.65138889,6.8,3.2,2.83
21,32,1,ahmic lake,45.63055556,-79.65138889,13.55,3,2.83
22,32,1,ahmic lake,45.63055556,-79.65138889,12.025,3.1,2.83
23,32,1,ahmic lake,45.63055556,-79.65138889,8.583333333,3.1,2.83
24,32,1,ahmic lake,45.63055556,-79.65138889,10.57,2.8,2.83
25,32,1,ahmic lake,45.63055556,-79.65138889,9.558333333,2.9,2.83
26,32,1,ahmic lake,45.63055556,-79.65138889,13.78,2,2.83
27,32,1,ahmic lake,45.63055556,-79.65138889,9.88,2.4,2.83
28,32,1,ahmic lake,45.63055556,-79.65138889,9.4,2.5,2.83
29,32,1,ahmic lake,45.63055556,-79.65138889,10.2,2.1,2.83
30,32,1,ahmic lake,45.63055556,-79.65138889,7.85,2.6,2.83
31,32,1,ahmic lake,45.63055556,-79.65138889,9.116666667,2.3,2.83
32,32,1,ahmic lake,45.63055556,-79.65138889,10.96,2.2,2.83
33,32,1,ahmic lake,45.63055556,-79.65138889,8.925,2.7,2.83
34,32,1,ahmic lake,45.63055556,-79.65138889,7.783333333,2.7,2.83
35,32,2,ahmic lake,45.65222222,-79.72333333,14.7,3.3,2.83
36,32,2,ahmic lake,45.65222222,-79.72333333,16.45,3,2.83
37,32,2,ahmic lake,45.65222222,-79.72333333,11.25,3.1,2.83
38,32,2,ahmic lake,45.65222222,-79.72333333,7.241666667,3.1,2.83
39,32,2,ahmic lake,45.65222222,-79.72333333,8.98,3,2.83
40,32,2,ahmic lake,45.65222222,-79.72333333,8.808333333,2.7,2.83
41,32,2,ahmic lake,45.65222222,-79.72333333,12.27,2.3,2.83
42,32,2,ahmic lake,45.65222222,-79.72333333,8.74,2.5,2.83
43,32,2,ahmic lake,45.65222222,-79.72333333,9.316666667,2.6,2.83
44,32,2,ahmic lake,45.65222222,-79.72333333,8.95,2.2,2.83
45,32,2,ahmic lake,45.65222222,-79.72333333,7.416666667,2.5,2.83
46,32,2,ahmic lake,45.65222222,-79.72333333,8.95,2.5,2.83
47,32,2,ahmic lake,45.65222222,-79.72333333,9.68,2.4,2.83
48,32,2,ahmic lake,45.65222222,-79.72333333,8.083333333,2.8,2.83
49,32,2,ahmic lake,45.65222222,-79.72333333,7.516666667,2.8,2.83
50,33,2,aird lake,45.13916667,-77.08083333,8.6,4.8,398314.17
51,6114,1,allen lake,45.12361111,-78.25277778,10,6.3,969577.75
52,6114,1,allen lake,45.12361111,-78.25277778,5.35,6.3,969577.75
53,6114,1,allen lake,45.12361111,-78.25277778,5.35,6.2,969577.75
54,6114,1,allen lake,45.12361111,-78.25277778,4.9,6.1,969577.75
55,6114,1,allen lake,45.12361111,-78.25277778,9.75,5.6,969577.75
56,6114,1,allen lake,45.12361111,-78.25277778,5.875,5.9,969577.75
57,6114,1,allen lake,45.12361111,-78.25277778,6.65,6.1,969577.75
58,6114,1,allen lake,45.12361111,-78.25277778,6.15,5.9,969577.75
59,6114,1,allen lake,45.12361111,-78.25277778,5.1,6.1,969577.75
60,6114,1,allen lake,45.12361111,-78.25277778,9.7,5.7,969577.75
61,6114,1,allen lake,45.12361111,-78.25277778,5.8,5.9,969577.75
62,6114,1,allen lake,45.12361111,-78.25277778,6,6.2,969577.75
63,6114,1,allen lake,45.12361111,-78.25277778,7.2,6,969577.75
64,6114,1,allen lake,45.12361111,-78.25277778,5,6.2,969577.75
65,6114,1,allen lake,45.12361111,-78.25277778,5.7,6.5,969577.75
66,6114,2,allen lake,45.12166667,-78.25027778,7.3,4.5,969577.75
67,88,1,animoosh lake,45.77194444,-78.13805556,11.75,4.3,627949.07
68,96,1,anstruther lake,44.755,-78.19444444,6.8,4.8,17592.22
69,96,1,anstruther lake,44.755,-78.19444444,5.8,6.1,17592.22
70,96,1,anstruther lake,44.755,-78.19444444,7.9,4.8,17592.22
71,96,1,anstruther lake,44.755,-78.19444444,5.3,5.6,17592.22
72,96,1,anstruther lake,44.755,-78.19444444,5.8,5,17592.22
73,96,1,anstruther lake,44.755,-78.19444444,7.8,4.9,17592.22
74,96,1,anstruther lake,44.755,-78.19444444,6.85,5.1,17592.22
75,96,1,anstruther lake,44.755,-78.19444444,4.55,5.1,17592.22
76,96,1,anstruther lake,44.755,-78.19444444,7.3,5.1,17592.22
77,96,2,anstruther lake,44.73527778,-78.23194444,7.25,4.9,17592.22
78,96,2,anstruther lake,44.73527778,-78.23194444,12,5.9,17592.22
79,96,2,anstruther lake,44.73527778,-78.23194444,6.15,5,17592.22
80,96,2,anstruther lake,44.73527778,-78.23194444,4.05,5.5,17592.22
81,96,2,anstruther lake,44.73527778,-78.23194444,5.7,5,17592.22
82,96,2,anstruther lake,44.73527778,-78.23194444,6.15,5.5,17592.22
83,96,2,anstruther lake,44.73527778,-78.23194444,5.65,5,17592.22
84,96,2,anstruther lake,44.73527778,-78.23194444,5.3,5.3,17592.22
85,96,2,anstruther lake,44.73527778,-78.23194444,4.6,4.9,17592.22
86,2776,1,ardoch lake,44.93138889,-76.86277778,15.1,11,902815.55
87,2776,2,ardoch lake,44.93083333,-76.86444444,5.3,6.8,902815.55
88,2776,2,ardoch lake,44.93083333,-76.86444444,9.2,5.6,902815.55
89,2776,2,ardoch lake,44.93083333,-76.86444444,6.6,5.5,902815.55
