Time period,Total,House only,Land only,HPI
1/1/2004,66.4,61,79.2,0.664
2/1/2004,66.7,61.4,79.3,0.667
3/1/2004,66.9,61.6,79.3,0.669
4/1/2004,67.5,62.3,80,0.675
5/1/2004,68.2,63,80.4,0.682
6/1/2004,68.8,63.5,81.2,0.688
7/1/2004,68.8,63.6,81.2,0.688
8/1/2004,69.2,63.9,81.8,0.692
9/1/2004,69.3,64,81.8,0.693
10/1/2004,69.4,64.2,81.9,0.694
11/1/2004,69.7,64.5,81.9,0.697
12/1/2004,69.9,64.7,82.2,0.699
1/1/2005,70,64.9,82.3,0.7
2/1/2005,70.2,65,82.5,0.702
3/1/2005,70.5,65.2,83.1,0.705
4/1/2005,70.8,65.6,83.3,0.708
5/1/2005,71.2,66,83.3,0.712
6/1/2005,71.8,66,85.4,0.718
7/1/2005,71.9,66.2,85.4,0.719
8/1/2005,72,66.3,85.5,0.72
9/1/2005,72.2,66.5,85.8,0.722
10/1/2005,72.5,66.9,85.8,0.725
11/1/2005,72.6,67,85.8,0.726
12/1/2005,72.6,67,85.8,0.726
1/1/2006,73.1,67.5,86,0.731
2/1/2006,73.3,67.7,86.3,0.733
3/1/2006,73.4,67.9,86.3,0.734
4/1/2006,73.6,68.2,86.3,0.736
5/1/2006,73.8,68.4,86.5,0.738
6/1/2006,74.1,68.7,86.8,0.741
7/1/2006,74.4,69.1,87.1,0.744
8/1/2006,74.8,69.6,87.2,0.748
9/1/2006,74.9,69.6,87.2,0.749
10/1/2006,74.8,69.6,87.2,0.748
11/1/2006,75.1,69.8,87.4,0.751
12/1/2006,75.1,69.9,87.5,0.751
1/1/2007,75.2,69.9,87.5,0.752
2/1/2007,75.3,70,87.6,0.753
3/1/2007,75.4,70,88.1,0.754
4/1/2007,75.4,70,88.1,0.754
5/1/2007,75.7,70.4,88.3,0.757
6/1/2007,76.1,70.7,88.5,0.761
7/1/2007,76.2,70.9,88.5,0.762
8/1/2007,76.5,71.3,88.5,0.765
9/1/2007,76.7,71.6,88.6,0.767
10/1/2007,76.7,71.6,88.6,0.767
11/1/2007,77.2,72.2,88.9,0.772
12/1/2007,77.3,72.3,89,0.773
1/1/2008,78,73.1,89.4,0.78
2/1/2008,78.4,73.5,89.7,0.784
3/1/2008,78.6,73.7,90.1,0.786
4/1/2008,78.7,73.8,90.2,0.787
5/1/2008,78.7,73.8,90.2,0.787
6/1/2008,79,74.2,90.2,0.79
7/1/2008,79,74.2,90.2,0.79
8/1/2008,79.1,74.4,90.2,0.791
9/1/2008,79.1,74.4,90.2,0.791
10/1/2008,79.1,74.3,90.2,0.791
11/1/2008,79,74.2,90.2,0.79
12/1/2008,79.1,74.3,90.2,0.791
1/1/2009,79.1,74.3,90.2,0.791
2/1/2009,79.1,74.3,90.2,0.791
3/1/2009,78.9,74.1,90.2,0.789
4/1/2009,78.5,73.5,90.2,0.785
5/1/2009,78.3,73.2,90.2,0.783
6/1/2009,78.3,73.1,90.2,0.783
7/1/2009,78.4,73.3,90.2,0.784
8/1/2009,78.5,73.4,90.2,0.785
9/1/2009,78.9,73.9,90.3,0.789
10/1/2009,79.1,74.2,90.3,0.791
11/1/2009,79.4,74.6,90.5,0.794
12/1/2009,79.9,75.2,90.6,0.799
1/1/2010,80.2,75.7,90.6,0.802
2/1/2010,80,75.6,89.9,0.8
3/1/2010,80.2,76.1,89.3,0.802
