Lake.Name,STN,Site.ID,Latitude,Longitude,Year,meanTP_yearly,d,m,s,d_long,m_long,s_long,,#VALUE!,,Latitude,,#VALUE!,,#VALUE!,,#VALUE!,,Longitude
ABERDEEN LAKE (BASS),4,1,463030,834840,2002,15.44166667,46,30,30,83,48,40,,46.50833333,,46.50833333,,83.81111111,,83.81111111,,-83.81111111,,-83.81111111
ABERDEEN LAKE (BASS),4,1,463030,834840,2003,12.21666667,46,30,30,83,48,40,,46.50833333,,46.50833333,,83.81111111,,83.81111111,,-83.81111111,,-83.81111111
ABERDEEN LAKE (BASS),4,1,463030,834840,2004,13.525,46,30,30,83,48,40,,46.50833333,,46.50833333,,83.81111111,,83.81111111,,-83.81111111,,-83.81111111
ABERDEEN LAKE (BASS),4,1,463030,834840,2005,10.14166667,46,30,30,83,48,40,,46.50833333,,46.50833333,,83.81111111,,83.81111111,,-83.81111111,,-83.81111111
ABERDEEN LAKE (BASS),4,1,463030,834840,2006,14.55,46,30,30,83,48,40,,46.50833333,,46.50833333,,83.81111111,,83.81111111,,-83.81111111,,-83.81111111
ABERDEEN LAKE (BASS),4,1,463030,834840,2007,14.925,46,30,30,83,48,40,,46.50833333,,46.50833333,,83.81111111,,83.81111111,,-83.81111111,,-83.81111111
ABERDEEN LAKE (BASS),4,1,463030,834840,2008,15.375,46,30,30,83,48,40,,46.50833333,,46.50833333,,83.81111111,,83.81111111,,-83.81111111,,-83.81111111
ABERDEEN LAKE (BASS),4,1,463030,834840,2009,16.125,46,30,30,83,48,40,,46.50833333,,46.50833333,,83.81111111,,83.81111111,,-83.81111111,,-83.81111111
ABERDEEN LAKE (BASS),4,1,463030,834840,2010,13.13333333,46,30,30,83,48,40,,46.50833333,,46.50833333,,83.81111111,,83.81111111,,-83.81111111,,-83.81111111
ABERDEEN LAKE (BASS),4,1,463030,834840,2011,16.23333333,46,30,30,83,48,40,,46.50833333,,46.50833333,,83.81111111,,83.81111111,,-83.81111111,,-83.81111111
ABERDEEN LAKE (BASS),4,1,463030,834840,2012,17.25,46,30,30,83,48,40,,46.50833333,,46.50833333,,83.81111111,,83.81111111,,-83.81111111,,-83.81111111
ABERDEEN LAKE (BASS),4,1,463030,834840,2013,12.9,46,30,30,83,48,40,,46.50833333,,46.50833333,,83.81111111,,83.81111111,,-83.81111111,,-83.81111111
ABERDEEN LAKE (BASS),4,1,463030,834840,2014,12.2,46,30,30,83,48,40,,46.50833333,,46.50833333,,83.81111111,,83.81111111,,-83.81111111,,-83.81111111
ABERDEEN LAKE (BASS),4,1,463030,834840,2015,10.73333333,46,30,30,83,48,40,,46.50833333,,46.50833333,,83.81111111,,83.81111111,,-83.81111111,,-83.81111111
ABERDEEN LAKE (BASS),4,1,463030,834840,2016,14.1,46,30,30,83,48,40,,46.50833333,,46.50833333,,83.81111111,,83.81111111,,-83.81111111,,-83.81111111
ABERDEEN LAKE (BASS),4,2,463012,834737,2005,10.8,46,30,12,83,47,37,,46.50333333,,46.50333333,,83.79361111,,83.79361111,,-83.79361111,,-83.79361111
ABERDEEN LAKE (BASS),4,4,463022,834841,2010,8.4,46,30,22,83,48,41,,46.50611111,,46.50611111,,83.81138889,,83.81138889,,-83.81138889,,-83.81138889
ABERDEEN LAKE (BASS),4,4,463022,834841,2016,7.4,46,30,22,83,48,41,,46.50611111,,46.50611111,,83.81138889,,83.81138889,,-83.81138889,,-83.81138889
ABITIBI LAKE,2451,1,484735,800916,2010,92.1,48,47,35,80,9,16,,48.79305556,,48.79305556,,80.15444444,,80.15444444,,-80.15444444,,-80.15444444
ABITIBI LAKE,2451,1,484735,800916,2012,52.2,48,47,35,80,9,16,,48.79305556,,48.79305556,,80.15444444,,80.15444444,,-80.15444444,,-80.15444444
ABITIBI LAKE,2451,1,484735,800916,2014,33.6,48,47,35,80,9,16,,48.79305556,,48.79305556,,80.15444444,,80.15444444,,-80.15444444,,-80.15444444
ABITIBI LAKE,2451,1,484735,800916,2015,64,48,47,35,80,9,16,,48.79305556,,48.79305556,,80.15444444,,80.15444444,,-80.15444444,,-80.15444444
ABITIBI LAKE,2451,1,484735,800916,2016,50.5,48,47,35,80,9,16,,48.79305556,,48.79305556,,80.15444444,,80.15444444,,-80.15444444,,-80.15444444
ABITIBI LAKE,2451,2,484005,794421,2016,47.6,48,40,5,79,44,21,,48.66805556,,48.66805556,,79.73916667,,79.73916667,,-79.73916667,,-79.73916667
ABITIBI LAKE,2451,3,483837,795334,2010,57.7,48,38,37,79,53,34,,48.64361111,,48.64361111,,79.89277778,,79.89277778,,-79.89277778,,-79.89277778
ABITIBI LAKE,2451,3,483837,795334,2012,51.5,48,38,37,79,53,34,,48.64361111,,48.64361111,,79.89277778,,79.89277778,,-79.89277778,,-79.89277778
ABITIBI LAKE,2451,3,483837,795334,2014,45.3,48,38,37,79,53,34,,48.64361111,,48.64361111,,79.89277778,,79.89277778,,-79.89277778,,-79.89277778
ABITIBI LAKE,2451,3,483837,795334,2016,40.8,48,38,37,79,53,34,,48.64361111,,48.64361111,,79.89277778,,79.89277778,,-79.89277778,,-79.89277778
ABITIBI LAKE,2451,4,484639,793435,2016,48.3,48,46,39,79,34,35,,48.7775,,48.7775,,79.57638889,,79.57638889,,-79.57638889,,-79.57638889
ABITIBI LAKE,2451,9,484140,795801,2014,46.4,48,41,40,79,58,1,,48.69444444,,48.69444444,,79.96694444,,79.96694444,,-79.96694444,,-79.96694444
ABITIBI LAKE,2451,10,484127,793153,2014,51.8,48,41,27,79,31,53,,48.69083333,,48.69083333,,79.53138889,,79.53138889,,-79.53138889,,-79.53138889
ABITIBI LAKE,2451,11,484913,800749,2014,64.6,48,49,13,80,7,49,,48.82027778,,48.82027778,,80.13027778,,80.13027778,,-80.13027778,,-80.13027778
ABITIBI LAKE,2451,12,485450,800720,2014,63.6,48,54,50,80,7,20,,48.91388889,,48.91388889,,80.12222222,,80.12222222,,-80.12222222,,-80.12222222
ABITIBI LAKE,2451,13,485449,800360,2014,63.2,48,54,49,80,3,60,,48.91361111,,48.91361111,,80.06666667,,80.06666667,,-80.06666667,,-80.06666667
ABITIBI LAKE,2451,14,485600,795343,2014,61.8,48,56,0,79,53,43,,48.93333333,,48.93333333,,79.89527778,,79.89527778,,-79.89527778,,-79.89527778
