Lake.Name,STN,Site.ID,Latitude,Longitude,Year,Secchi.depth_avg,d,m,s,d_long,m_long,s_long,,#VALUE!,,Latitude,,#VALUE!,,#VALUE!,,#VALUE!,,Longitude
ABERDEEN LAKE (BASS),4,1,463030,834840,2000,3.8,46,30,30,83,48,40,,46.50833333,,46.50833333,,83.81111111,,83.81111111,,-83.81111111,,-83.81111111
ABERDEEN LAKE (BASS),4,1,463030,834840,2001,3.3,46,30,30,83,48,40,,46.50833333,,46.50833333,,83.81111111,,83.81111111,,-83.81111111,,-83.81111111
ABERDEEN LAKE (BASS),4,1,463030,834840,2002,3,46,30,30,83,48,40,,46.50833333,,46.50833333,,83.81111111,,83.81111111,,-83.81111111,,-83.81111111
ABERDEEN LAKE (BASS),4,1,463030,834840,2003,2.8,46,30,30,83,48,40,,46.50833333,,46.50833333,,83.81111111,,83.81111111,,-83.81111111,,-83.81111111
ABERDEEN LAKE (BASS),4,1,463030,834840,2004,2.5,46,30,30,83,48,40,,46.50833333,,46.50833333,,83.81111111,,83.81111111,,-83.81111111,,-83.81111111
ABERDEEN LAKE (BASS),4,1,463030,834840,2005,4.2,46,30,30,83,48,40,,46.50833333,,46.50833333,,83.81111111,,83.81111111,,-83.81111111,,-83.81111111
ABERDEEN LAKE (BASS),4,1,463030,834840,2006,4.1,46,30,30,83,48,40,,46.50833333,,46.50833333,,83.81111111,,83.81111111,,-83.81111111,,-83.81111111
ABERDEEN LAKE (BASS),4,1,463030,834840,2007,3.2,46,30,30,83,48,40,,46.50833333,,46.50833333,,83.81111111,,83.81111111,,-83.81111111,,-83.81111111
ABERDEEN LAKE (BASS),4,1,463030,834840,2008,4.2,46,30,30,83,48,40,,46.50833333,,46.50833333,,83.81111111,,83.81111111,,-83.81111111,,-83.81111111
ABERDEEN LAKE (BASS),4,1,463030,834840,2009,2.8,46,30,30,83,48,40,,46.50833333,,46.50833333,,83.81111111,,83.81111111,,-83.81111111,,-83.81111111
ABERDEEN LAKE (BASS),4,1,463030,834840,2010,4,46,30,30,83,48,40,,46.50833333,,46.50833333,,83.81111111,,83.81111111,,-83.81111111,,-83.81111111
ABERDEEN LAKE (BASS),4,1,463030,834840,2011,3.2,46,30,30,83,48,40,,46.50833333,,46.50833333,,83.81111111,,83.81111111,,-83.81111111,,-83.81111111
ABERDEEN LAKE (BASS),4,1,463030,834840,2012,4,46,30,30,83,48,40,,46.50833333,,46.50833333,,83.81111111,,83.81111111,,-83.81111111,,-83.81111111
ABERDEEN LAKE (BASS),4,1,463030,834840,2014,3.4,46,30,30,83,48,40,,46.50833333,,46.50833333,,83.81111111,,83.81111111,,-83.81111111,,-83.81111111
ABERDEEN LAKE (BASS),4,1,463030,834840,2015,3.4,46,30,30,83,48,40,,46.50833333,,46.50833333,,83.81111111,,83.81111111,,-83.81111111,,-83.81111111
ABERDEEN LAKE (BASS),4,2,463012,834737,2005,3.2,46,30,12,83,47,37,,46.50333333,,46.50333333,,83.79361111,,83.79361111,,-83.79361111,,-83.79361111
ABITIBI LAKE,2451,1,484735,800916,2015,0.3,48,47,35,80,9,16,,48.79305556,,48.79305556,,80.15444444,,80.15444444,,-80.15444444,,-80.15444444
ADA LAKE,15,1,450528,793826,2004,5,45,5,28,79,38,26,,45.09111111,,45.09111111,,79.64055556,,79.64055556,,-79.64055556,,-79.64055556
