Lake.Name,STN,Site.ID,Latitude,Longitude,Year,Secchi.depth_avg
ABERDEEN LAKE (BASS),4,1,46.50833333,-83.81111111,2000,3.8
ABERDEEN LAKE (BASS),4,1,46.50833333,-83.81111111,2001,3.3
ABERDEEN LAKE (BASS),4,1,46.50833333,-83.81111111,2002,3
ABERDEEN LAKE (BASS),4,1,46.50833333,-83.81111111,2003,2.8
ABERDEEN LAKE (BASS),4,1,46.50833333,-83.81111111,2004,2.5
ABERDEEN LAKE (BASS),4,1,46.50833333,-83.81111111,2005,4.2
ABERDEEN LAKE (BASS),4,1,46.50833333,-83.81111111,2006,4.1
ABERDEEN LAKE (BASS),4,1,46.50833333,-83.81111111,2007,3.2
ABERDEEN LAKE (BASS),4,1,46.50833333,-83.81111111,2008,4.2
ABERDEEN LAKE (BASS),4,1,46.50833333,-83.81111111,2009,2.8
ABERDEEN LAKE (BASS),4,1,46.50833333,-83.81111111,2010,4
ABERDEEN LAKE (BASS),4,1,46.50833333,-83.81111111,2011,3.2
ABERDEEN LAKE (BASS),4,1,46.50833333,-83.81111111,2012,4
ABERDEEN LAKE (BASS),4,1,46.50833333,-83.81111111,2014,3.4
ABERDEEN LAKE (BASS),4,1,46.50833333,-83.81111111,2015,3.4
ABERDEEN LAKE (BASS),4,2,46.50333333,-83.79361111,2005,3.2
ABITIBI LAKE,2451,1,48.79305556,-80.15444444,2015,0.3
ADA LAKE,15,1,45.09111111,-79.64055556,2004,5
ADA LAKE,15,1,45.09111111,-79.64055556,2007,1.9
ADA LAKE,15,2,45.08333333,-79.63333333,2015,1.7
ADA LAKE,15,2,45.08333333,-79.63333333,2016,1.7
ADAM'S LAKE,6931,1,44.81111111,-76.21527778,1996,3.9
ADAM'S LAKE,6931,1,44.81111111,-76.21527778,1997,3.6
ADAM'S LAKE,6931,1,44.81111111,-76.21527778,1998,3.7
ADAM'S LAKE,6931,1,44.81111111,-76.21527778,1999,3.7
ADAM'S LAKE,6931,1,44.81111111,-76.21527778,2000,3.6
ADAM'S LAKE,6931,1,44.81111111,-76.21527778,2001,2.7
ADAM'S LAKE,6931,1,44.81111111,-76.21527778,2002,3.3
ADAM'S LAKE,6931,1,44.81111111,-76.21527778,2003,3.9
ADAM'S LAKE,6931,1,44.81111111,-76.21527778,2004,4.2
ADAM'S LAKE,6931,1,44.81111111,-76.21527778,2005,4.2
ADAM'S LAKE,6931,1,44.81111111,-76.21527778,2006,5.4
ADAM'S LAKE,6931,1,44.81111111,-76.21527778,2007,5
ADAM'S LAKE,6931,1,44.81111111,-76.21527778,2008,4.6
ADAM'S LAKE,6931,1,44.81111111,-76.21527778,2009,4.5
ADAM'S LAKE,6931,1,44.81111111,-76.21527778,2010,5.3
ADAM'S LAKE,6931,1,44.81111111,-76.21527778,2011,4.4
ADAM'S LAKE,6931,1,44.81111111,-76.21527778,2012,5.2
ADAM'S LAKE,6931,1,44.81111111,-76.21527778,2013,5
ADAM'S LAKE,6931,1,44.81111111,-76.21527778,2015,4.5
ADAM'S LAKE,6931,1,44.81111111,-76.21527778,2016,4.1
ADAM'S LAKE,6931,3,44.81,-77.77861111,2014,3.6
AGNEW LAKE,6051,1,46.35388889,-81.73333333,2006,3.8
AGNEW LAKE,6051,2,46.35416667,-81.73472222,2006,2.9
AGNEW LAKE,6051,3,46.37638889,-81.66361111,2014,2.5
AHMIC LAKE,32,1,45.63055556,-79.65138889,1993,3.9
AHMIC LAKE,32,1,45.63055556,-79.65138889,1994,3.9
AHMIC LAKE,32,1,45.63055556,-79.65138889,1996,2.2
AHMIC LAKE,32,1,45.63055556,-79.65138889,1997,2
AHMIC LAKE,32,1,45.63055556,-79.65138889,1998,3.3
AHMIC LAKE,32,1,45.63055556,-79.65138889,1999,2.8
AHMIC LAKE,32,1,45.63055556,-79.65138889,2000,2.7
AHMIC LAKE,32,1,45.63055556,-79.65138889,2001,3.1
AHMIC LAKE,32,1,45.63055556,-79.65138889,2002,3.2
AHMIC LAKE,32,1,45.63055556,-79.65138889,2003,3
AHMIC LAKE,32,1,45.63055556,-79.65138889,2004,3.1
AHMIC LAKE,32,1,45.63055556,-79.65138889,2005,3.1
AHMIC LAKE,32,1,45.63055556,-79.65138889,2006,2.8
AHMIC LAKE,32,1,45.63055556,-79.65138889,2007,2.9
AHMIC LAKE,32,1,45.63055556,-79.65138889,2008,2
AHMIC LAKE,32,1,45.63055556,-79.65138889,2009,2.4
AHMIC LAKE,32,1,45.63055556,-79.65138889,2010,2.5
AHMIC LAKE,32,1,45.63055556,-79.65138889,2011,2.1
AHMIC LAKE,32,1,45.63055556,-79.65138889,2012,2.6
AHMIC LAKE,32,1,45.63055556,-79.65138889,2013,2.3
AHMIC LAKE,32,1,45.63055556,-79.65138889,2014,2.2
AHMIC LAKE,32,1,45.63055556,-79.65138889,2015,2.7
AHMIC LAKE,32,1,45.63055556,-79.65138889,2016,2.7
AHMIC LAKE,32,2,45.65222222,-79.72333333,1993,4
AHMIC LAKE,32,2,45.65222222,-79.72333333,1994,3.2
AHMIC LAKE,32,2,45.65222222,-79.72333333,1995,3.6
AHMIC LAKE,32,2,45.65222222,-79.72333333,1996,2.6
AHMIC LAKE,32,2,45.65222222,-79.72333333,1997,3.6
AHMIC LAKE,32,2,45.65222222,-79.72333333,1998,3.3
AHMIC LAKE,32,2,45.65222222,-79.72333333,1999,3.2
AHMIC LAKE,32,2,45.65222222,-79.72333333,2000,2.9
AHMIC LAKE,32,2,45.65222222,-79.72333333,2001,2.7
AHMIC LAKE,32,2,45.65222222,-79.72333333,2002,3.3
AHMIC LAKE,32,2,45.65222222,-79.72333333,2003,3
AHMIC LAKE,32,2,45.65222222,-79.72333333,2004,3.1
AHMIC LAKE,32,2,45.65222222,-79.72333333,2005,3.1
AHMIC LAKE,32,2,45.65222222,-79.72333333,2006,3
AHMIC LAKE,32,2,45.65222222,-79.72333333,2007,2.7
AHMIC LAKE,32,2,45.65222222,-79.72333333,2008,2.3
AHMIC LAKE,32,2,45.65222222,-79.72333333,2009,2.5
AHMIC LAKE,32,2,45.65222222,-79.72333333,2010,2.6
AHMIC LAKE,32,2,45.65222222,-79.72333333,2011,2.2
AHMIC LAKE,32,2,45.65222222,-79.72333333,2012,2.5
AHMIC LAKE,32,2,45.65222222,-79.72333333,2013,2.5
AHMIC LAKE,32,2,45.65222222,-79.72333333,2014,2.4
AHMIC LAKE,32,2,45.65222222,-79.72333333,2015,2.8
AHMIC LAKE,32,2,45.65222222,-79.72333333,2016,2.8
AHMIC LAKE,32,3,45.65222222,-79.72333333,2002,2.8
AIRD LAKE,33,2,45.13916667,-77.08083333,2014,4.8
AKWESKWA LAKE,7590,1,48.17666667,-81.90416667,2015,1.1
ALCOCK LAKE,7600,2,49.82666667,-94.49333333,2014,1.2
ALFRED LAKE,49,1,45.67555556,-79.005,2001,3.8
ALLAN LAKE,55,1,49.68444444,-82.77333333,2015,0.8
ALLEN LAKE,6114,1,45.12361111,-78.25277778,1993,6.3
ALLEN LAKE,6114,1,45.12361111,-78.25277778,1994,6.1
ALLEN LAKE,6114,1,45.12361111,-78.25277778,1995,6.2
ALLEN LAKE,6114,1,45.12361111,-78.25277778,1996,6.4
