Lake.Name,STN,Site.ID,Latitude,Longitude,Year,meanTP_yearly,d,m,s,d_long,m_long,s_long
ABERDEEN LAKE (BASS),4,1,463030,834840,2002,15.4416666666667,46,30,30,83,48,40
ABERDEEN LAKE (BASS),4,1,463030,834840,2003,12.2166666666667,46,30,30,83,48,40
ABERDEEN LAKE (BASS),4,1,463030,834840,2004,13.525,46,30,30,83,48,40
ABERDEEN LAKE (BASS),4,1,463030,834840,2005,10.1416666666667,46,30,30,83,48,40
ABERDEEN LAKE (BASS),4,1,463030,834840,2006,14.55,46,30,30,83,48,40
ABERDEEN LAKE (BASS),4,1,463030,834840,2007,14.925,46,30,30,83,48,40
ABERDEEN LAKE (BASS),4,1,463030,834840,2008,15.375,46,30,30,83,48,40
ABERDEEN LAKE (BASS),4,1,463030,834840,2009,16.125,46,30,30,83,48,40
ABERDEEN LAKE (BASS),4,1,463030,834840,2010,13.1333333333333,46,30,30,83,48,40
ABERDEEN LAKE (BASS),4,1,463030,834840,2011,16.2333333333333,46,30,30,83,48,40
ABERDEEN LAKE (BASS),4,1,463030,834840,2012,17.25,46,30,30,83,48,40
ABERDEEN LAKE (BASS),4,1,463030,834840,2013,12.9,46,30,30,83,48,40
ABERDEEN LAKE (BASS),4,1,463030,834840,2014,12.2,46,30,30,83,48,40
ABERDEEN LAKE (BASS),4,1,463030,834840,2015,10.7333333333333,46,30,30,83,48,40
ABERDEEN LAKE (BASS),4,1,463030,834840,2016,14.1,46,30,30,83,48,40
ABERDEEN LAKE (BASS),4,2,463012,834737,2005,10.8,46,30,12,83,47,37
ABERDEEN LAKE (BASS),4,4,463022,834841,2010,8.4,46,30,22,83,48,41
ABERDEEN LAKE (BASS),4,4,463022,834841,2016,7.4,46,30,22,83,48,41
ABITIBI LAKE,2451,1,484735,800916,2010,92.1,48,47,35,80,09,16
ABITIBI LAKE,2451,1,484735,800916,2012,52.2,48,47,35,80,09,16
ABITIBI LAKE,2451,1,484735,800916,2014,33.6,48,47,35,80,09,16
ABITIBI LAKE,2451,1,484735,800916,2015,64,48,47,35,80,09,16
ABITIBI LAKE,2451,1,484735,800916,2016,50.5,48,47,35,80,09,16
ABITIBI LAKE,2451,2,484005,794421,2016,47.6,48,40,05,79,44,21
ABITIBI LAKE,2451,3,483837,795334,2010,57.7,48,38,37,79,53,34
ABITIBI LAKE,2451,3,483837,795334,2012,51.5,48,38,37,79,53,34
ABITIBI LAKE,2451,3,483837,795334,2014,45.3,48,38,37,79,53,34
ABITIBI LAKE,2451,3,483837,795334,2016,40.8,48,38,37,79,53,34
ABITIBI LAKE,2451,4,484639,793435,2016,48.3,48,46,39,79,34,35
ABITIBI LAKE,2451,9,484140,795801,2014,46.4,48,41,40,79,58,01
ABITIBI LAKE,2451,10,484127,793153,2014,51.8,48,41,27,79,31,53
ABITIBI LAKE,2451,11,484913,800749,2014,64.6,48,49,13,80,07,49
ABITIBI LAKE,2451,12,485450,800720,2014,63.6,48,54,50,80,07,20
ABITIBI LAKE,2451,13,485449,800360,2014,63.2,48,54,49,80,03,60
ABITIBI LAKE,2451,14,485600,795343,2014,61.8,48,56,00,79,53,43
ABITIBI LAKE,2451,15,485201,795124,2014,61.8,48,52,01,79,51,24
ABITIBI LAKE,2451,16,485209,795505,2014,60.4,48,52,09,79,55,05
